page,clicks,impressions,position_avg,ctr_pct
https://www.miaphotobooth.net/post/what-size-are-photo-booth-pictures-a-complete-breakdown,1556,80937,3.23,1.922
https://www.miaphotobooth.net/post/what-are-the-photo-booth-pictures-called-understanding-photo-booth-photos,106,35777,3.44,0.296
https://www.miaphotobooth.net/,83,24528,12.41,0.338
https://www.miaphotobooth.net/?utm_source=gmb&utm_medium=click&utm_campaign=gmb_listing,30,13089,3.88,0.229
https://www.miaphotobooth.net/post/glam-photo-booths-for-brides,0,4920,8.82,0.0
https://www.miaphotobooth.net/post/how-to-make-photo-booth-props-fun-and-easy-diy-ideas,29,4676,8.49,0.62
https://www.miaphotobooth.net/post/how-can-i-create-a-polaroid-frame-for-my-photo-booth,24,1443,9.58,1.663
https://www.miaphotobooth.net/glam-booth,3,1262,20.17,0.238
https://www.miaphotobooth.net/post/miamis-best-photo-booth-rentals,1,1113,41.59,0.09
https://www.miaphotobooth.net/serving-all-of-miami-fl,1,981,16.87,0.102
https://www.miaphotobooth.net/post/how-to-display-photo-booth-strips-tips-and-ideas,4,856,9.29,0.467
https://www.miaphotobooth.net/360-photo-booth,2,708,10.15,0.282
https://www.miaphotobooth.net/packages,0,592,10.22,0.0
https://www.miaphotobooth.net/post/best-photo-booth-rental-packages-for-corporate-events-in-miami,0,559,11.89,0.0
https://www.miaphotobooth.net/post/what-do-360-photo-booth-pictures-look-like,5,558,12.78,0.896
https://www.miaphotobooth.net/events-gallery,4,536,10.45,0.746
https://www.miaphotobooth.net/post/roamer-photo-booth-rental-miami,2,528,18.41,0.379
https://www.miaphotobooth.net/roamer-booth,2,457,17.89,0.438
https://www.miaphotobooth.net/post/social-photo-booth-rental-miami,0,390,23.36,0.0
https://www.miaphotobooth.net/prime-photo-booth-rental-in-southeast-gables-fl,0,384,54.94,0.0
https://www.miaphotobooth.net/contact,2,362,12.88,0.552
https://www.miaphotobooth.net/post/how-to-effectively-display-photo-booth-props,9,353,7.02,2.55
